user_id;rec_stories
4735988;[10991501, 4230389, 10399961, 5358187, 6754695]
4741780;[10991501, 4230389, 9860311, 10399961, 2251671]
1426613;[3157478, 10506441, 10991501, 12058516, 8670912]
1726366;[10991501, 4230389, 10399961, 4302068, 2251671]
2120788;[2724972, 6045275, 11916243, 4230389, 6458809]
4068301;[10506441, 6045275, 10991501, 12058516, 10399961]
102390;[10991501, 4230389, 4118383, 8670912, 1894696]
134545;[6045275, 6458809, 10506441, 3693052, 6256924]
4502738;[10506441, 6045275, 5358187, 12058516, 10991501]
4612655;[10991501, 6045275, 5358187, 4230389, 6754695]
4660561;[10991501, 11916243, 10506441, 6045275, 10399961]
4724487;[10991501, 9860311, 10399961, 4302068, 6754695]
4735988;[6045275, 2724972, 2905557, 1297222, 11317119]
4748489;[10991501, 3401052, 1894696, 6754695, 4230389]
4823105;[3401052, 10991501, 10506441, 6754695, 12058516]
4848800;[10991501, 12058516, 5453054, 10399961, 6045275]
5044249;[10991501, 10399961, 6754695, 5358187, 4230389]
5198608;[10399961, 6754695, 10991501, 2905557, 6045275]
5208280;[12058516, 6045275, 11782884, 11916243, 10476350]
5494836;[5222490, 3401052, 5453054, 5003930, 12058516]
5540686;[6797418, 5319052, 5222490, 10506441, 7659651]
5548401;[10991501, 12058516, 5453054, 9860311, 6754695]
6159354;[10991501, 3401052, 5453054, 10399961, 9860311]
6275666;[10991501, 10399961, 12058516, 6754695, 4302068]
6484170;[12058516, 6045275, 10991501, 5358187, 11916243]
6717323;[6045275, 6458809, 11916243, 7502401, 4819806]
737376;[5453054, 12058516, 2724972, 5200789, 6029161]
788336;[6045275, 5358187, 12058516, 11916243, 4819806]
841104;[3152469, 2724972, 6754695, 2251671, 6029161]
848498;[5358187, 10399961, 6754695, 2905557, 6045275]
892226;[10991501, 6754695, 4230389, 12058516, 8257400]
1103092;[2724972, 6045275, 8257400, 6029161, 6754695]
1169362;[2905557, 6029161, 2741470, 6045275, 2724972]
1230656;[6754695, 5358187, 10399961, 10991501, 2905557]
1304234;[10506441, 10991501, 6045275, 2905557, 12058516]
1361554;[3157478, 6797418, 2636963, 3693052, 9750991]
1426613;[10991501, 10399961, 6754695, 3401052, 4230389]
1726366;[7502401, 10506441, 10991501, 12058516, 11916243]
1759089;[10991501, 12058516, 11916243, 9860311, 3401052]
1963839;[10991501, 10506441, 6045275, 6754695, 4230389]
1964394;[3401052, 9860311, 4118383, 10476350, 12058516]
1971975;[3401052, 4230389, 8975202, 10991501, 9860311]
2071557;[10991501, 6045275, 6754695, 10399961, 8257400]
2191537;[4230389, 10991501, 2724972, 5358187, 10399961]
2527403;[6029161, 6045275, 2724972, 8257400, 9040382]
2590193;[12058516, 10991501, 3157478, 3401052, 10506441]
2642025;[10399961, 6754695, 7502401, 10991501, 11572455]
2776642;[4230389, 10991501, 3401052, 6754695, 7161848]
3306332;[10506441, 6045275, 6754695, 10991501, 8232212]
3423761;[6045275, 2905557, 5358187, 10991501, 10399961]
3444838;[10991501, 5358187, 6754695, 10399961, 10645463]
3957230;[10991501, 10399961, 6754695, 4230389, 8257400]
4023558;[2905557, 2724972, 4230389, 5358187, 10991501]
4067190;[2905557, 2724972, 6045275, 5358187, 8257400]
4068301;[12058516, 10991501, 8823783, 10506441, 6045275]
4221031;[2724972, 6892925, 4118383, 6045275, 10645463]
4385711;[10991501, 9860311, 4230389, 12058516, 4302068]
4407605;[10991501, 10399961, 6754695, 10506441, 12058516]
102390;[3401052, 12058516, 9860311, 10991501, 6754695]
456647;[4230389, 2724972, 5358187, 6045275, 2905557]
4502738;[5358187, 4230389, 6045275, 10991501, 6754695]
4624251;[10991501, 6754695, 3401052, 12058516, 10399961]
4724487;[3401052, 8670912, 4118383, 4230389, 10991501]
4735988;[6045275, 6754695, 10399961, 10991501, 5358187]
4823105;[12058516, 5453054, 3157478, 10991501, 9860311]
5540686;[6754695, 5358187, 10991501, 4230389, 10506441]
5565245;[2905557, 6045275, 5358187, 10506441, 10399961]
5716768;[10991501, 6754695, 10399961, 2905557, 8257400]
6023643;[2905557, 2724972, 8257400, 5358187, 6029161]
6182956;[6045275, 10991501, 10399961, 6754695, 5358187]
7445622;[6892925, 5358187, 6029161, 6045275, 3152469]
529727;[10991501, 12058516, 6045275, 6754695, 11916243]
697940;[6029161, 2724972, 5358187, 7502401, 6045275]
737376;[10991501, 11916243, 12058516, 10399961, 6754695]
788336;[2724972, 10991501, 8257400, 10399961, 6045275]
818368;[10991501, 12058516, 8975202, 9860311, 10645463]
848498;[10991501, 6754695, 12058516, 10506441, 8975202]
874735;[10991501, 6754695, 9860311, 10645463, 8975202]
909080;[10991501, 12058516, 9860311, 10399961, 5453054]
985407;[6754695, 10991501, 2905557, 4230389, 5358187]
1169362;[10991501, 6754695, 12058516, 6045275, 5358187]
1175945;[10991501, 6892925, 12058516, 10399961, 9040382]
1361664;[6045275, 10506441, 2905557, 5358187, 4819806]
1374677;[4230389, 2724972, 10991501, 7502401, 6045275]
1400419;[10991501, 5453054, 4302068, 12058516, 10399961]
1426613;[5062719, 6754695, 10991501, 12058516, 10399961]
1435694;[12058516, 10991501, 5453054, 10645463, 11782884]
1547857;[10991501, 9860311, 4230389, 12058516, 5453054]
1570528;[10991501, 4230389, 6754695, 5358187, 10645463]
1612089;[12058516, 10991501, 3401052, 9860311, 10506441]
1623122;[10991501, 3157478, 6892925, 5453054, 4118383]
1638611;[12058516, 10506441, 10991501, 5062719, 6045275]
1705936;[3401052, 3157478, 10991501, 11782884, 12058516]
1708271;[10506441, 10991501, 3401052, 12058516, 6754695]
1726366;[6045275, 10991501, 10399961, 11916243, 12058516]
1793757;[2905557, 6045275, 10991501, 10010184, 6754695]
1883885;[12058516, 3157478, 11916243, 6045275, 4118383]
1910652;[3401052, 10506441, 4230389, 10991501, 4118383]
1963839;[10991501, 10399961, 10506441, 6754695, 4230389]
1964394;[2724972, 5358187, 6754695, 6045275, 4230389]
1994922;[10991501, 4230389, 6754695, 2724972, 10399961]
2130659;[10991501, 3401052, 9860311, 4230389, 4118383]
2131527;[2724972, 6045275, 5358187, 6029161, 4230389]
2208534;[6045275, 11825585, 9750991, 9486886, 1351933]
2213599;[6045275, 2724972, 6029161, 2905557, 5358187]
2251479;[6029161, 2724972, 6045275, 2905557, 8257400]
2338415;[6029161, 2107570, 6045275, 6256924, 6327377]
2399200;[6029161, 7565325, 5062719, 10506441, 3693052]
2487027;[2905557, 6045275, 6029161, 5358187, 2741470]
2490778;[2724972, 9855330, 1351933, 2741470, 6045275]
2513926;[2905557, 6045275, 6029161, 6754695, 10506441]
2514331;[2905557, 2741470, 5358187, 6045275, 6029161]
2642985;[6045275, 2905557, 5358187, 2724972, 10506441]
2789154;[2724972, 6029161, 6045275, 1351933, 6327377]
