user_id;rec_stories
1963839;[6821850, 5716145, 7965930, 6550419, 4946293]
2513926;[7965930, 6821850, 5716145, 6550419, 5882420]
3706712;[6772394, 8837107, 4293510, 8612305, 5485394]
4050171;[10610076, 3157478, 7899682, 9281148, 11671069]
4068301;[6821850, 9704180, 8914586, 11446957, 7965930]
456647;[6821850, 7965930, 6772394, 8837107, 4293510]
6345170;[7965930, 6821850, 5716145, 6550419, 5882420]
6717323;[6821850, 7965930, 5716145, 5882420, 6550419]
1965500;[6821850, 7965930, 5882420, 5716145, 6145729]
3835875;[8914586, 11671069, 7017751, 10610076, 6174426]
